BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2,920,1st out of 3,Super Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
3,1600,Ground out of 4,Carpet Area,Worli,Mumbai,Furnished,Family,3,Contact Agent
1,580,2nd out of 2,Super Area,Viman Nagar,Pune,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,880,Ground out of 1,Carpet Area,OMR,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3,1450,1st out of 3,Super Area,Whitefield,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
2,980,2nd out of 4,Carpet Area,Saket,Delhi,Furnished,Family,2,Contact Owner
1,550,Ground out of 1,Super Area,Marathahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
3,1300,1st out of 2,Carpet Area,Juhu,Mumbai,Furnished,Family,3,Contact Agent
2,850,Ground out of 3,Super Area,Garia,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1200,2nd out of 4,Carpet Area,Baner,Pune,Furnished,Bachelors/Family,2,Contact Owner
2,920,Ground out of 2,Super Area,T Nagar,Chennai,Furnished,Family,2,Contact Agent
3,1500,1st out of 3,Carpet Area,Dwarka,Delhi,Furnished,Bachelors/Family,3,Contact Owner
1,500,Ground out of 1,Super Area,Gachibowli,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2,780,2nd out of 2,Carpet Area,Rajarhat,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,1350,Ground out of 4,Super Area,Koramangala,Bangalore,Furnished,Family,3,Contact Owner
2,880,1st out of 2,Carpet Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
3,1250,2nd out of 3,Super Area,Whitefield,Bangalore,Furnished,Family,2,Contact Agent
2,950,Ground out of 2,Carpet Area,Vastrapur,Ahmedabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1400,1st out of 4,Super Area,Porur,Chennai,Furnished,Bachelors/Family,3,Contact Owner
2,820,Ground out of 1,Carpet Area,Indiranagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent
3,1300,2nd out of 3,Super Area,Vasant Kunj,Delhi,Furnished,Family,2,Contact Owner
1,550,Ground out of 1,Carpet Area,Hitech City,Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
2,780,1st out of 2,Super Area,Salt Lake,Kolkata,Furnished,Bachelors/Family,2,Contact Agent
3,1450,Ground out of 4,Carpet Area,Bandra West,Mumbai,Furnished,Family,3,Contact Owner
2,920,2nd out of 3,Super Area,Kothrud,Pune,Furnished,Bachelors/Family,2,Contact Owner
3,1350,Ground out of 2,Carpet Area,Adyar,Chennai,Furnished,Family,3,Contact Agent
2,1050,1st out of 4,Super Area,Janakpuri,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
1,580,Ground out of 1,Carpet Area,Madhapur,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
3,1500,2nd out of 3,Super Area,Whitefield,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
2,880,Ground out of 2,Carpet Area,Juhu,Mumbai,Furnished,Family,2,Contact Owner
3,1250,1st out of 2,Super Area,Viman Nagar,Pune,Furnished,Bachelors/Family,2,Contact Owner
2,920,Ground out of 3,Carpet Area,Anna Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Agent
3,1400,2nd out of 4,Super Area,Greater Kailash,Delhi,Furnished,Family,3,Contact Owner
2,820,Ground out of 1,Carpet Area,Manikonda,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
3,1350,1st out of 3,Super Area,Koramangala,Bangalore,Furnished,Bachelors/Family,3,Contact Agent
2,950,Ground out of 2,Carpet Area,Thane,Mumbai,Semi-Furnished,Family,2,Contact Owner
3,1450,2nd out of 4,Super Area,Baner,Pune,Furnished,Bachelors/Family,3,Contact Owner
2,880,Ground out of 1,Carpet Area,OMR,Chennai,Unfurnished,Bachelors/Family,2,Contact Agent
3,1500,1st out of 2,Super Area,Vasant Vihar,Delhi,Furnished,Family,3,Contact Owner
2,980,Ground out of 3,Carpet Area,Whitefield,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
3,1400,2nd out of 3,Super Area,Worli,Mumbai,Furnished,Family,3,Contact Agent
2,920,Ground out of 2,Carpet Area,Kharadi,Pune,Semi-Furnished,Bachelors/Family,2,Contact Owner
3,1350,1st out of 4,Super Area,Mylapore,Chennai,Furnished,Family,2,Contact Owner
2,1050,Ground out of 1,Carpet Area,Rajouri Garden,Delhi,Furnished,Bachelors/Family,2,Contact Agent
